2020-03-16 20:57:59.824 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.penghk.fund.roboadvisor.RoboadvisorApplicationTests], using SpringBootContextLoader
2020-03-16 20:57:59.836 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.penghk.fund.roboadvisor.RoboadvisorApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-03-16 20:57:59.838 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.penghk.fund.roboadvisor.RoboadvisorApplicationTests]: RoboadvisorApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-03-16 20:58:00.064 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.penghk.fund.roboadvisor.RoboadvisorApplication for test class com.penghk.fund.roboadvisor.RoboadvisorApplicationTests
2020-03-16 20:58:00.219 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-03-16 20:58:00.237 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@773f7880, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@878452d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@426b6a74, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4c51bb7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@83298d7, org.springframework.test.context.event.EventPublishingTestExecutionListener@42a9e5d1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5b080f3a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@773cbf4f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6b54655f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@665e9289, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7d3430a7]
2020-03-16 20:58:20.875 [main] INFO  com.penghk.fund.roboadvisor.RoboadvisorApplicationTests - Starting RoboadvisorApplicationTests on penghangkongdeMacBook-Pro.local with PID 64698 (started by xmly in /Users/xmly/workspace/fund/roboadvisor)
2020-03-16 20:58:20.876 [main] INFO  com.penghk.fund.roboadvisor.RoboadvisorApplicationTests - No active profile set, falling back to default profiles: default
2020-03-16 20:58:22.571 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-03-16 20:58:22.867 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-03-16 20:58:22.926 [main] INFO  com.penghk.fund.roboadvisor.RoboadvisorApplicationTests - Started RoboadvisorApplicationTests in 22.609 seconds (JVM running for 24.427)
2020-03-16 20:58:23.288 [main] INFO  com.penghk.fund.roboadvisor.util.TushareUtils - request : {"api_name":"index_daily","fields":"ts_code,close,pct_chg","params":{"trade_date":"20200315","ts_code":"000300.SH"},"token":"f9e661b705630da6c6203efa6bfe39b20e8cad70b2ccb362a22b46e5"}
2020-03-16 20:58:46.456 [main] INFO  com.penghk.fund.roboadvisor.util.TushareUtils - get response : {"request_id": "d1a957fe678511eab46c4b3d2a06a6cf1584363503406924", "code": 0, "msg": "", "data": {"fields": ["ts_code", "close", "pct_chg"], "items": [], "has_more": false}}
2020-03-16 20:58:46.456 [scheduling-1] INFO  com.penghk.fund.roboadvisor.service.impl.WeekInvestServiceImpl - hello
2020-03-16 20:58:46.516 [SpringContextShutdownHook] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
2020-03-16 20:58:46.517 [SpringContextShutdownHook] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
